# mu, sigma
1.694647387486762824e+01 8.742353255542887336e-01
1.563186760923807306e+01 7.204586891093308632e-01
1.479043723050268611e+01 6.311286204254279442e-01
1.421257338939181736e+01 5.758270838241825729e-01
1.379624737216085606e+01 5.405574744580108337e-01
1.348581098661089150e+01 5.180274003100200364e-01
1.324837940088556998e+01 5.041045316469388027e-01
1.306326682577199350e+01 4.960522170043722423e-01
1.291680215432666401e+01 4.920922744482569833e-01
1.279956800719135046e+01 4.910205318190640766e-01
1.270486034154962240e+01 4.919959544256728989e-01
1.262778642583454491e+01 4.944242174029147008e-01
1.256470734298577696e+01 4.979095161084690635e-01
1.251285712342568957e+01 5.021827844562166687e-01
1.247009506384934951e+01 5.070533262823755383e-01
1.243474782546884683e+01 5.123880719461685329e-01
1.240549311148272693e+01 5.180936101368955882e-01
1.238127547444447352e+01 5.240956569503021356e-01
1.236123602545660205e+01 5.303447723222745047e-01
1.234468244464421360e+01 5.367937377907676666e-01
1.233103366817583968e+01 5.434061660501362523e-01
1.231981690631098481e+01 5.501569391922337404e-01
1.231062359650157134e+01 5.570215477230701095e-01
1.230311895502015851e+01 5.639832599752259146e-01
1.229701336230641928e+01 5.710259489901258201e-01
1.229205859578279458e+01 5.781384660255290964e-01
1.228804570378439465e+01 5.853098918746605372e-01
1.228478698997587060e+01 5.925324998944204724e-01
1.228212548737550591e+01 5.997977282903848018e-01
1.227991702967967136e+01 6.071007048410637097e-01
1.227804021368843124e+01 6.144345705601812480e-01
1.227638144992083902e+01 6.217947604878253376e-01
1.227484342490219227e+01 6.291786913363335287e-01
1.227333383249521326e+01 6.365797387482666769e-01
1.227177180829584380e+01 6.439961073068360964e-01
1.227007995196156820e+01 6.514227264085074021e-01
1.226818745162532309e+01 6.588548040657887794e-01
1.226602628224187796e+01 6.662884383156904011e-01
1.226353189643909403e+01 6.737203583114154126e-01
1.226064027124946065e+01 6.811416836793614538e-01
1.225728986253923836e+01 6.885537433648301064e-01
1.225341698757563336e+01 6.959443569091020576e-01
1.224895792869613231e+01 7.033133505061662794e-01
1.224384674437946785e+01 7.106525337836347989e-01
1.223801270999314816e+01 7.179554563583392390e-01
1.223138204958965325e+01 7.252192380250995773e-01
1.222387319692404617e+01 7.324382539073689413e-01
1.221539550415526065e+01 7.396071124762626514e-01
1.220584865036619426e+01 7.467285286084440754e-01
1.219511576183266577e+01 7.537967356930332929e-01
1.218306408908031280e+01 7.608181929939671351e-01
1.216953779902489963e+01 7.677973935809151440e-01
1.215435184180246964e+01 7.747488371977376831e-01
1.213729034591572820e+01 7.816932136995549119e-01
1.211807830785085294e+01 7.886643411782617852e-01
1.209638837437116621e+01 7.957239671083304877e-01
1.207180272248264608e+01 8.029511362669203844e-01
1.204376840812276583e+01 8.104802640648864909e-01
1.201158084679938831e+01 8.185266032471261166e-01
1.197425065961880364e+01 8.274185191684082508e-01
1.193036066949907514e+01 8.377250225993959631e-01
1.187772644097308117e+01 8.504504121920931636e-01
1.181259045177772471e+01 8.676369598031751229e-01
1.172690012613862898e+01 8.945582703755642351e-01
1.166989302782940463e+01 9.326253112317156591e-01
1.176994992117089645e+01 9.392605513077588730e-01
1.188965416660468044e+01 9.432207194885858792e-01
1.201477657924787223e+01 9.446051966669832822e-01
1.214503434023746742e+01 9.429991159860635630e-01
1.227450613608154839e+01 9.355855494155290719e-01
1.240120261070396346e+01 9.273291398156342513e-01
1.252437670406650128e+01 9.164959543186904645e-01
1.264127732065720799e+01 9.051703284687251383e-01
1.276274403899187249e+01 8.877006680195623778e-01
1.287706898366695540e+01 8.707207060337336380e-01
1.300136534606778049e+01 8.486446233554434393e-01
1.310614223097811148e+01 8.246465041908612736e-01
1.320438620841275679e+01 8.027966472198801995e-01
1.329779499185117864e+01 7.742506135762874386e-01
1.338662340693899289e+01 7.567775609114411051e-01
1.346664919881468947e+01 7.321506263203244602e-01
1.353182812952642955e+01 7.199248984952987263e-01
1.361053579599400720e+01 7.031895696079252245e-01
1.367189778597657046e+01 6.928945904801431244e-01
1.375565562808916376e+01 6.735173717773601521e-01
1.384257778853166343e+01 6.530689577522460487e-01
1.391800732101166815e+01 6.266846306227918939e-01
1.400318589431239857e+01 5.970201138211999048e-01
1.406035646564577313e+01 5.793689170956296541e-01
1.413554180064534016e+01 5.751995246463070810e-01
1.416905558456322645e+01 5.601117875968238957e-01
1.425614477470194252e+01 5.436443806396282774e-01
1.431485076525693323e+01 4.904637071284095873e-01
1.439882709991197451e+01 4.602291775401819440e-01
1.444148364426156483e+01 3.920494121140393751e-01
1.431323859258002429e+01 3.520928730367850479e-01
1.428082264368125998e+01 1.982041753674853857e-01
