# Start time MJD	Stop time MJD	Mean flux (3-25 keV 10^-9 erg/cm^2/s)	Error on flux
55787.19872	55787.21872	0.427	0.191
55787.39872	55787.41872	1.134	0.4
55787.59872	55787.61872	1.433	0.4
55787.79872	55787.81872	1.437	0.4
55787.99872	55788.01872	1.283	0.4
55788.19872	55788.21872	1.112	0.4
55788.39872	55788.41872	1.048	0.097
55788.59872	55788.61872	1.094	0.04
55788.79872	55788.81872	1.179	0.04
55788.99872	55789.01872	1.233	0.072
55789.19872	55789.21872	1.242	0.084
55789.39872	55789.41872	1.227	0.074
55789.59872	55789.61872	1.211	0.066
55789.79872	55789.81872	1.205	0.068
55789.99872	55790.01872	1.205	0.078
55790.19872	55790.21872	1.208	0.089
55790.39872	55790.41872	1.21	0.096
55790.59872	55790.61872	1.207	0.094
55790.79872	55790.81872	1.196	0.078
55790.99872	55791.01872	1.179	0.051
55791.19872	55791.21872	1.16	0.04
55791.39872	55791.41872	1.147	0.04
55791.59872	55791.61872	1.145	0.04
55791.79872	55791.81872	1.154	0.04
55791.99872	55792.01872	1.165	0.065
55792.19872	55792.21872	1.168	0.087
55792.39872	55792.41872	1.153	0.085
55792.59872	55792.61872	1.112	0.044
55792.79872	55792.81872	1.114	0.041
55792.99872	55793.01872	1.197	0.126
55793.19872	55793.21872	1.212	0.141
55793.39872	55793.41872	1.18	0.109
55793.59872	55793.61872	1.135	0.066
55793.79872	55793.81872	1.107	0.044
55793.99872	55794.01872	1.094	0.041
55794.19872	55794.21872	1.09	0.049
55794.39872	55794.41872	1.088	0.061
55794.59872	55794.61872	1.081	0.07
55794.79872	55794.81872	1.064	0.069
55794.99872	55795.01872	1.041	0.062
55795.19872	55795.21872	1.016	0.051
55795.39872	55795.41872	0.993	0.041
55795.59872	55795.61872	0.977	0.04
55795.79872	55795.81872	0.967	0.04
55795.99872	55796.01872	0.963	0.04
55796.19872	55796.21872	0.962	0.04
55796.39872	55796.41872	0.961	0.04
55796.59872	55796.61872	0.956	0.044
55796.79872	55796.81872	0.947	0.046
55796.99872	55797.01872	0.934	0.043
55797.19872	55797.21872	0.921	0.04
55797.39872	55797.41872	0.911	0.04
55797.59872	55797.61872	0.908	0.04
55797.79872	55797.81872	0.909	0.04
55797.99872	55798.01872	0.911	0.04
55798.19872	55798.21872	0.909	0.04
55798.39872	55798.41872	0.901	0.04
55798.59872	55798.61872	0.882	0.062
55798.79872	55798.81872	0.856	0.23
55798.99872	55799.01872	0.836	0.396
55799.19872	55799.21872	0.837	0.4
55799.39872	55799.41872	0.873	0.4
55799.59872	55799.61872	0.954	0.317
55799.79872	55799.81872	1.036	0.086
55799.99872	55800.01872	1.059	0.04
55800.19872	55800.21872	1.032	0.04
55800.39872	55800.41872	0.977	0.04
55800.59872	55800.61872	0.916	0.057
55800.79872	55800.81872	0.871	0.091
55800.99872	55801.01872	0.853	0.08
55801.19872	55801.21872	0.853	0.05
55801.39872	55801.41872	0.862	0.04
55801.59872	55801.61872	0.873	0.04
55801.79872	55801.81872	0.884	0.044
55801.99872	55802.01872	0.894	0.068
55802.19872	55802.21872	0.9	0.091
55802.39872	55802.41872	0.902	0.106
55802.59872	55802.61872	0.898	0.107
55802.79872	55802.81872	0.889	0.096
55802.99872	55803.01872	0.876	0.077
55803.19872	55803.21872	0.862	0.054
55803.39872	55803.41872	0.846	0.04
55803.59872	55803.61872	0.832	0.04
55803.79872	55803.81872	0.819	0.04
55803.99872	55804.01872	0.809	0.04
55804.19872	55804.21872	0.802	0.04
55804.39872	55804.41872	0.799	0.04
55804.59872	55804.61872	0.8	0.04
55804.79872	55804.81872	0.805	0.04
55804.99872	55805.01872	0.816	0.057
55805.19872	55805.21872	0.831	0.079
55805.39872	55805.41872	0.853	0.102
