# This file lists persistent flux measurements from IGR J17498-2921, as
# shown in Fig. 2 of Falanga et al. (2012, A&A 545, #A26).
#
# Data has been adapted from the file lc_plot.qdp, supplied by M. Falanga
#
# The flux measurements are from RXTE/PCA (open circles), Swift/XRT (open
# triangles), and INTEGRAL/ISGRI.
#
# Start time MJD	Stop time MJD	Mean flux (0.1-300 keV 10^-9 erg/cm^2/s)	Error on flux
55785.50385386	55785.50385386	1.3661005	0.15143232
55786.51652	55786.51652	1.8208708	0.15084991
55787.518705	55787.518705	2.0076222	0.139773
55788.254115	55788.254115	2.1012728	0.18226607
55790.96757	55790.96757	2.0134711	0.125295
55791.50167	55791.50167	2.0542703	0.12380122
55792.4929	55792.4929	2.0659783	0.11695996
55793.503875	55793.503875	1.8490362	0.139875
55794.5004	55794.5004	1.8635097	0.2092803
55795.314	55795.314	1.7304056	0.25277624
# 55797.1261	55797.1261	1.74028	0.252843
55799.66985	55799.66985	1.4166925	0.19721183
55786.131	55786.131	1.7155837	0.06475272
55788.871925	55788.871925	2.047306	0.0670929
55789.587945	55789.587945	2.055739	0.06782981
55790.703315	55790.703315	1.9952873	0.06629305
55791.54961	55791.54961	2.0099576	0.06713349
55792.626835	55792.626835	1.9169395	0.0662298
55793.60628	55793.60628	1.9330223	0.049848787
55794.58554	55794.58554	1.81793	0.06444644
55795.5322	55795.5322	1.67391	0.06333186
55796.6745	55796.6745	1.5733	0.06265865
55797.4248	55797.4248	1.52102	0.06264493
55798.53505	55798.53505	1.44314	0.06196564
55799.775	55799.775	1.48222	0.06366208
55800.75395	55800.75395	1.21387	0.060959186
55801.33875	55801.33875	1.22639	0.061232638
55802.3851	55802.3851	1.20888	0.061212778
55803.6911	55803.6911	1.13236	0.061423544
55804.4072	55804.4072	1.05751	0.060293946
55805.38815	55805.38815	0.986869	0.060005523
55806.23165	55806.23165	0.997664	0.06111472
55807.3428	55807.3428	0.795751	0.058832046
55808.5209	55808.5209	0.801566	0.05974061
55809.2332	55809.2332	0.682168	0.05859248
55810.14515	55810.14515	0.70086	0.059573498
55811.12405	55811.12405	0.507573	0.05771828
55812.25135	55812.25135	0.426961	0.05638427
55785.7044615	55785.7044615	1.3855019	0.08634456
55786.64224	55786.64224	1.6681814	0.10064217
55788.39039	55788.39039	1.9686095	0.07887047
55789.29261	55789.29261	2.0528898	0.10124169
55790.96076	55790.96076	2.0102594	0.09054269
55791.465945	55791.465945	1.9910098	0.0867173
55792.193355	55792.193355	1.950196	0.09027612
# 55793.47483	55793.47483	2.2587447	0.13660172
# 55794.68224	55794.68224	2.0912182	0.14732416
55795.5163	55795.5163	1.6525044	0.08262839
55796.4422	55796.4422	1.4994978	0.090803385
55799.3178	55799.3178	1.4432691	0.084313236
55800.623	55800.623	1.3194999	0.074261874
55801.2867	55801.2867	1.27043	0.06303997
55802.53855	55802.53855	1.1954101	0.06885733
55803.3326	55803.3326	1.1415602	0.067842044
55804.33115	55804.33115	1.0684534	0.06719182
55805.50445	55805.50445	1.0006057	0.056897517
55813.5474	55813.5474	0.37760118	0.033859964
55815.44815	55815.44815	0.40410432	0.036053915
55817.2837	55817.2837	0.25322396	0.030381313
55819.2541	55819.2541	0.11256228	0.030384408
55820.36375	55820.36375	0.053933263	0.033144157
55821.23185	55821.23185	0.017650142	0.010327158
55822.05555	55822.05555	0.008271725	0.0069988915
